source,target,weight
6AMa1VFQ7qCi61tCRtVWXe,6K33IlAAM2crUmPtnc4j6H,1
00XhexlJEXQstHimpZN910,7lCRuW6BSXGAsxuQV9lR0i,1
4SsVbpTthjScTS7U2hmr1X,6JkIfzAcnjeyUx6aQh3Pbi,1
4SsVbpTthjScTS7U2hmr1X,5wUO3A6DT4tO5UDz21kE2Y,1
38epWdyauFwdRkldqUMfWE,6AMa1VFQ7qCi61tCRtVWXe,1
4C3ZmIqca9MWwThLaYbfXu,7qYeIN2r4H1kBvr0Gm9Iav,1
2O8vbr4RYPpk6MRA4fio7u,4SsVbpTthjScTS7U2hmr1X,1
4QrBoWLm2WNlPdbFhmlaUZ,4SsVbpTthjScTS7U2hmr1X,2
4Tw0VaV1ENei24iQnktjXj,64aJYyrXljOodnUG6jvhRD,1
00me4Ke1LsvMxt5kydlMyU,3qcl8ck0RTpenPbFmZa2p5,1
1NV0aHpx1XWBilmEFTPOSz,2A3uvEbM1K4QWaviVVH5LQ,1
4SsVbpTthjScTS7U2hmr1X,76whng5pl9msPkkjFUtWYn,1
0F0qHLgO0rPrxKUjv19N7z,4SsVbpTthjScTS7U2hmr1X,1
2jku7tDXc6XoB6MO2hFuqg,4SsVbpTthjScTS7U2hmr1X,1
6NyPX5jymkvSPaJhCh1crb,7iK8PXO48WeuP03g8YR51W,2
1pQWsZQehhS4wavwh7Fnxd,3Wb38LDP3N4tkobValgE9D,1
0odliLZMTk45CEVzF3Zocl,64aJYyrXljOodnUG6jvhRD,1
16Juw2gfa9IxEL3Vu69cH7,3EiLUeyEcA6fbRPSHkG5kb,1
1NV0aHpx1XWBilmEFTPOSz,4SsVbpTthjScTS7U2hmr1X,1
1bAftSH8umNcGZ0uyV7LMg,4SsVbpTthjScTS7U2hmr1X,2
4SsVbpTthjScTS7U2hmr1X,52iwsT98xCoGgiGntTiR7K,1
1GKIlPFdcewHtpDVCQ8zmJ,4SsVbpTthjScTS7U2hmr1X,3
6xLvSuN3p2uD8IorXxYmHg,76whng5pl9msPkkjFUtWYn,1
0KPX4Ucy9dk82uj4GpKesn,1uy3w1dRiwRTYHiOOzZ5EE,1
4SsVbpTthjScTS7U2hmr1X,6xLvSuN3p2uD8IorXxYmHg,1
4DYFVNKZ1uixa6SQTvzQwJ,4SsVbpTthjScTS7U2hmr1X,1
2RON3ZWvFVAHpiJA74KNHj,4SsVbpTthjScTS7U2hmr1X,1
00me4Ke1LsvMxt5kydlMyU,3EiLUeyEcA6fbRPSHkG5kb,1
12vb80Km0Ew53ABfJOepVz,4Tw0VaV1ENei24iQnktjXj,1
39FKVjqhZLz4E1iG77d5AO,6AMa1VFQ7qCi61tCRtVWXe,1
12vb80Km0Ew53ABfJOepVz,2qbEtwBVyobgpNP5KcHE9J,1
00me4Ke1LsvMxt5kydlMyU,12vb80Km0Ew53ABfJOepVz,2
1pQWsZQehhS4wavwh7Fnxd,4SsVbpTthjScTS7U2hmr1X,3
1SupJlEpv7RS2tPNRaHViT,4SsVbpTthjScTS7U2hmr1X,1
29fkrV8IuMETQBv8PgC6Lw,4IMAo2UQchVFyPH24PAjUs,1
12vb80Km0Ew53ABfJOepVz,5sZKwZcGSzyVnO1P62PdCq,1
